"","Technology","usage"
"898","Fuel_Cell",0
"899","Fuel_Cell",102.5
"900","Fuel_Cell",37.5
"901","Solar",50
"902","Solar",60
"903","Solar",185
"904","Solar",145
"905","Battery",22.5
"906","Battery",25
"907","Battery",50
"908","Battery",40
"909","CHP",7
"910","CHP",8
"911","CHP",47.5
"912","CHP",35
"913","Fuel_Cell",0
"914","Fuel_Cell",0
"915","Fuel_Cell",47.5
"916","Fuel_Cell",35
"917","Solar",280
"918","Solar",415
"919","Solar",35
"920","Solar",360
"921","Battery",72.5
"922","Battery",102.5
"923","Battery",15
"924","Battery",87.5
"925","CHP",67.5
"926","CHP",95
"927","CHP",4.5
"928","CHP",80
"929","Fuel_Cell",67.5
"930","Fuel_Cell",95
"931","Fuel_Cell",0
"932","Fuel_Cell",80
"933","Solar",235
"934","Solar",285
"935","Solar",40
"936","Solar",350
"937","Solar",110
"938","Solar",215
"939","Solar",55
"940","Battery",62.5
"941","Battery",75
"942","Battery",17.5
"943","Battery",87.5
"944","Battery",30
"945","Battery",57.5
"946","Battery",22.5
"947","CHP",57.5
"948","CHP",70
"949","CHP",5.5
"950","CHP",80
"951","CHP",27.5
"952","CHP",55
"953","CHP",7
"954","Fuel_Cell",57.5
"955","Fuel_Cell",70
"956","Fuel_Cell",0
"957","Fuel_Cell",80
"958","Fuel_Cell",27.5
"959","Fuel_Cell",55
"960","Fuel_Cell",0
"961","Solar",485
"962","Solar",110
"963","Battery",120
"964","Battery",30
"965","CHP",110
"966","CHP",27.5
"967","Fuel_Cell",110
"968","Fuel_Cell",27.5
"969","Solar",55
"970","Solar",190
"971","Solar",135
"972","Solar",190
"973","Solar",240
"974","Solar",132.5
"975","Battery",22.5
"976","Battery",50
"977","Battery",35
"978","Battery",50
"979","Battery",62.5
"980","Battery",35
"981","CHP",7
"982","CHP",47.5
"983","CHP",35
"984","CHP",47.5
"985","CHP",57.5
"986","CHP",32.5
"987","Fuel_Cell",0
"988","Fuel_Cell",47.5
"989","Fuel_Cell",35
"990","Fuel_Cell",47.5
"991","Fuel_Cell",57.5
"992","Fuel_Cell",32.5
"993","Solar",200
"994","Solar",117.5
"995","Solar",190
"996","Battery",55
"997","Battery",32.5
"998","Battery",50
"999","CHP",47.5
"1000","CHP",30
"1001","CHP",47.5
"1002","Fuel_Cell",47.5
"1003","Fuel_Cell",30
"1004","Fuel_Cell",47.5
"1005","Solar",145
"1006","Solar",400
"1007","Solar",27.5
"1008","Battery",40
"1009","Battery",102.5
"1010","Battery",11.5
"1011","CHP",35
"1012","CHP",87.5
"1013","CHP",4
"1014","Fuel_Cell",35
"1015","Fuel_Cell",87.5
"1016","Fuel_Cell",0
"1017","Solar",87.5
"1018","Solar",70
"1019","Battery",25
"1020","Battery",20
"1021","CHP",22.5
"1022","CHP",17.5
"1023","Fuel_Cell",22.5
"1024","Fuel_Cell",17.5
"1025","Solar",150
"1026","Solar",140
"1027","Solar",515
"1028","Solar",47.5
"1029","Solar",185
"1030","Solar",117.5
"1031","Battery",65
"1032","Battery",40
"1033","Battery",127.5
"1034","Battery",20
"1035","Battery",50
"1036","Battery",32.5
"1037","CHP",22.5
"1038","CHP",35
"1039","CHP",117.5
"1040","CHP",6.5
"1041","CHP",47.5
"1042","CHP",27.5
"1043","Fuel_Cell",0
"1044","Fuel_Cell",35
"1045","Fuel_Cell",117.5
"1046","Fuel_Cell",0
"1047","Fuel_Cell",47.5
"1048","Fuel_Cell",27.5
"1049","Solar",125
"1050","Solar",300
"1051","Solar",125
"1052","Solar",355
"1053","Solar",135
"1054","Solar",305
"1055","Battery",35
"1056","Battery",77.5
"1057","Battery",50
"1058","Battery",87.5
"1059","Battery",35
"1060","Battery",77.5
"1061","CHP",30
"1062","CHP",70
"1063","CHP",20
"1064","CHP",80
"1065","CHP",35
"1066","CHP",72.5
"1067","Fuel_Cell",30
"1068","Fuel_Cell",70
"1069","Fuel_Cell",0
"1070","Fuel_Cell",80
"1071","Fuel_Cell",35
"1072","Fuel_Cell",72.5
"1073","Solar",140
"1074","Solar",375
"1075","Solar",112.5
"1076","Solar",110
"1077","Solar",150
"1078","Solar",370
"1079","Solar",500
"1080","Battery",37.5
"1081","Battery",95
"1082","Battery",32.5
"1083","Battery",30
"1084","Battery",42.5
"1085","Battery",95
"1086","Battery",125
"1087","CHP",35
"1088","CHP",87.5
"1089","CHP",27.5
"1090","CHP",27.5
"1091","CHP",37.5
"1092","CHP",80
"1093","CHP",110
"1094","Fuel_Cell",35
"1095","Fuel_Cell",87.5
"1096","Fuel_Cell",27.5
"1097","Fuel_Cell",27.5
"1098","Fuel_Cell",37.5
"1099","Fuel_Cell",80
"1100","Fuel_Cell",110
"1101","Solar",35
"1102","Solar",110
"1103","Solar",420
"1104","Solar",140
"1105","Battery",15
"1106","Battery",30
"1107","Battery",102.5
"1108","Battery",37.5
"1109","CHP",4.5
"1110","CHP",27.5
"1111","CHP",95
"1112","CHP",35
"1113","Fuel_Cell",0
"1114","Fuel_Cell",27.5
"1115","Fuel_Cell",95
"1116","Fuel_Cell",35
"1117","Solar",170
"1118","Solar",117.5
"1119","Solar",95
"1120","Solar",515
"1121","Solar",27.5
"1122","Solar",240
"1123","Solar",42.5
"1124","Battery",47.5
"1125","Battery",32.5
"1126","Battery",27.5
"1127","Battery",127.5
"1128","Battery",11
"1129","Battery",62.5
"1130","Battery",20
"1131","CHP",42.5
"1132","CHP",30
"1133","CHP",25
"1134","CHP",117.5
"1135","CHP",4
"1136","CHP",57.5
"1137","CHP",5.5
"1138","Fuel_Cell",42.5
"1139","Fuel_Cell",30
"1140","Fuel_Cell",25
"1141","Fuel_Cell",117.5
"1142","Fuel_Cell",0
"1143","Fuel_Cell",57.5
"1144","Fuel_Cell",0
"1145","Solar",430
"1146","Solar",155
"1147","Solar",132.5
"1148","Solar",340
"1149","Solar",410
"1150","Solar",170
"1151","Solar",315
"1152","Battery",110
"1153","Battery",42.5
"1154","Battery",35
"1155","Battery",87.5
"1156","Battery",102.5
"1157","Battery",47.5
"1158","Battery",80
"1159","CHP",95
"1160","CHP",40
"1161","CHP",32.5
"1162","CHP",77.5
"1163","CHP",95
"1164","CHP",42.5
"1165","CHP",75
"1166","Fuel_Cell",95
"1167","Fuel_Cell",40
"1168","Fuel_Cell",32.5
"1169","Fuel_Cell",77.5
"1170","Fuel_Cell",95
"1171","Fuel_Cell",42.5
"1172","Fuel_Cell",75
"1173","Solar",160
"1174","Solar",290
"1175","Solar",455
"1176","Solar",145
"1177","Solar",505
"1178","Battery",42.5
"1179","Battery",77.5
"1180","Battery",112.5
"1181","Battery",40
"1182","Battery",125
"1183","CHP",40
"1184","CHP",70
"1185","CHP",102.5
"1186","CHP",37.5
"1187","CHP",117.5
"1188","Fuel_Cell",40
"1189","Fuel_Cell",70
"1190","Fuel_Cell",102.5
"1191","Fuel_Cell",37.5
"1192","Fuel_Cell",117.5
"1193","Solar",135
"1194","Solar",490
"1195","Solar",530
"1196","Solar",155
"1197","Solar",340
"1198","Battery",35
"1199","Battery",125
"1200","Battery",132.5
"1201","Battery",42.5
"1202","Battery",87.5
"1203","CHP",35
"1204","CHP",110
"1205","CHP",120
"1206","CHP",40
"1207","CHP",77.5
"1208","Fuel_Cell",35
"1209","Fuel_Cell",110
"1210","Fuel_Cell",120
"1211","Fuel_Cell",40
"1212","Fuel_Cell",77.5
"1213","Solar",175
"1214","Solar",140
"1215","Battery",47.5
"1216","Battery",37.5
"1217","CHP",42.5
