"","ID","State","Country","Address","IRR","Capex_Payback","Capex_Asset","Capex..Lifetime.Benefit","PPA.Savings...on.Rate","PPA","PPA..Lifetime.Benefit","usage","NPV_estimated_capex","NPV_estimated_PPA","X","X.1","X.2","synthetic_total","Type","weighted_sum"
"69","08840-STOCKTON","CA","US","628 W HAMMER LANE, STOCKTON, CA, 95210",0.255,3.4,761400,"3857598.986","0.15","30022.64824","692329.5111",37.5,1211122.47,354011.7888,NA,NA,NA,581.25,"Battery",73.6838709677419
"70","01542-TRACY","CA","US","2940 W GRANT LINE RD, TRACY, CA, 95304",0.255,3.4,703350,"3568166.839","0.15","27777.61686","640842.1197",35,1121175.901,327684.5223,NA,NA,NA,537.5,"Battery",68.6993023255814
"71","09838-SAN LUIS OBISPO","CA","US","3880 BROAD ST, SAN LUIS OBISPO, CA, 93401",0.255,3.4,743850,"3784437.454","0.15","28857.74371","665448.7042",35,1191262.473,340266.7116,NA,NA,NA,570,"CHP",228.375
"72","08840-STOCKTON","CA","US","628 W HAMMER LANE, STOCKTON, CA, 95210",0.255,3.4,761400,"3857598.986","0.15","30022.64824","692329.5111",35,1211122.47,354011.7888,NA,NA,NA,581.25,"CHP",229.238709677419
"73","01542-TRACY","CA","US","2940 W GRANT LINE RD, TRACY, CA, 95304",0.255,3.4,703350,"3568166.839","0.15","27777.61686","640842.1197",32.5,1121175.901,327684.5223,NA,NA,NA,537.5,"CHP",212.640697674419
"74","09838-SAN LUIS OBISPO","CA","US","3880 BROAD ST, SAN LUIS OBISPO, CA, 93401",0.255,3.4,743850,"3784437.454","0.15","28857.74371","665448.7042",35,1191262.473,340266.7116,NA,NA,NA,570,"Fuel_Cell",274.05
"75","08840-STOCKTON","CA","US","628 W HAMMER LANE, STOCKTON, CA, 95210",0.255,3.4,761400,"3857598.986","0.15","30022.64824","692329.5111",35,1211122.47,354011.7888,NA,NA,NA,581.25,"Fuel_Cell",275.086451612903
"76","01542-TRACY","CA","US","2940 W GRANT LINE RD, TRACY, CA, 95304",0.255,3.4,703350,"3568166.839","0.15","27777.61686","640842.1197",32.5,1121175.901,327684.5223,NA,NA,NA,537.5,"Fuel_Cell",255.168837209302
"77","09557- AUGUSTA - MARKETPLACE","ME","US","13 MARKETPLACE DR., AUGUSTA, ME, 4330",0.246,3.6,537300,"2671420.795","0.15","21396.90314","494729.2006",95,828688.9388,252971.9829,NA,NA,NA,411.25,"Solar",124.117933130699
"78","09557- AUGUSTA - MARKETPLACE","ME","US","13 MARKETPLACE DR., AUGUSTA, ME, 4330",0.246,3.6,537300,"2671420.795","0.15","21396.90314","494729.2006",27.5,828688.9388,252971.9829,NA,NA,NA,411.25,"Battery",53.8933130699088
"79","09557- AUGUSTA - MARKETPLACE","ME","US","13 MARKETPLACE DR., AUGUSTA, ME, 4330",0.246,3.6,537300,"2671420.795","0.15","21396.90314","494729.2006",25,828688.9388,252971.9829,NA,NA,NA,411.25,"CHP",163.313069908815
