"","Technology","weighted_sum"
"587","CHP",576.354865771812
"588","CHP",509.997148288973
"589","CHP",229.843220338983
"590","Fuel_Cell",691.625838926174
"591","Fuel_Cell",611.996577946768
"592","Fuel_Cell",275.81186440678
"593","Solar",183.507692307692
"594","Battery",78.6461538461539
"595","CHP",229.384615384615
"596","Fuel_Cell",275.261538461538
"597","Solar",180.406225680934
"598","Solar",613.997173144876
"599","Battery",115.25953307393
"600","Battery",232.724734982332
"601","CHP",133.634241245136
"602","CHP",676.717314487633
"603","Fuel_Cell",0
"604","Fuel_Cell",812.060777385159
"605","Solar",493.251689189189
"606","Solar",30.4605633802817
"607","Battery",187.435641891892
"608","Battery",21.3223943661972
"609","CHP",575.460304054054
"610","CHP",20.3070422535211
"611","Fuel_Cell",690.552364864865
"612","Fuel_Cell",0
"613","Solar",202.658823529412
"614","Battery",83.3516129032258
"615","CHP",261.495256166983
"616","Fuel_Cell",313.79430740038
"617","Solar",163.38785046729
"618","Solar",190.441525423729
"619","Battery",68.6228971962617
"620","Battery",78.8033898305085
"621","CHP",212.404205607477
"622","CHP",229.843220338983
"623","Fuel_Cell",254.885046728972
"624","Fuel_Cell",275.81186440678
"625","Solar",27.1255813953488
"626","Battery",14.2409302325581
"627","CHP",16.953488372093
"628","Fuel_Cell",0
"629","Solar",361.535836177474
"630","Battery",142.970989761092
"631","CHP",427.269624573379
"632","Fuel_Cell",512.723549488055
"633","Solar",209.572881355932
"634","Battery",83.5016949152542
"635","CHP",261.966101694915
"636","Fuel_Cell",314.359322033898
"637","Solar",173.764285714286
"638","Solar",724.763466042155
"639","Battery",68.85
"640","Battery",276.727868852459
"641","CHP",213.107142857143
"642","CHP",823.594847775176
"643","Fuel_Cell",255.728571428571
"644","Fuel_Cell",988.313817330211
"645","Solar",433.69980806142
"646","Solar",209.572881355932
"647","Solar",222.780952380952
"648","Battery",157.709021113244
"649","Battery",83.5016949152542
"650","Battery",93.3714285714286
"651","CHP",509.268714011516
"652","CHP",261.966101694915
"653","CHP",278.47619047619
"654","Fuel_Cell",611.122456813819
"655","Fuel_Cell",314.359322033898
"656","Fuel_Cell",334.171428571429
"657","Solar",283.004405286344
"658","Solar",460.95867768595
"659","Solar",202.658823529412
"660","Battery",113.530837004405
"661","Battery",172.859504132231
"662","Battery",83.3516129032258
"663","CHP",329.074889867841
"664","CHP",526.809917355372
"665","CHP",261.495256166983
"666","Fuel_Cell",394.88986784141
